Total_Obs,Day_Obs,Date,Time,Heart.Rate,Max_70_perc
139423,132,2025-07-03,00:17:42,61,136.5
139424,133,2025-07-03,00:17:47,66,136.5
139425,134,2025-07-03,00:17:52,65,136.5
139426,135,2025-07-03,00:17:57,63,136.5
139427,136,2025-07-03,00:18:02,61,136.5
139428,137,2025-07-03,00:18:12,60,136.5
139429,138,2025-07-03,00:18:22,61,136.5
139430,139,2025-07-03,00:18:27,60,136.5
139431,140,2025-07-03,00:18:37,58,136.5
139432,141,2025-07-03,00:18:42,56,136.5
139433,142,2025-07-03,00:18:47,56,136.5
139434,143,2025-07-03,00:18:52,57,136.5
139435,144,2025-07-03,00:18:57,56,136.5
139436,145,2025-07-03,00:19:02,56,136.5
139437,146,2025-07-03,00:19:12,58,136.5
139438,147,2025-07-03,00:19:17,60,136.5
139439,148,2025-07-03,00:19:22,60,136.5
139440,149,2025-07-03,00:19:37,61,136.5
139441,150,2025-07-03,00:19:42,61,136.5
139442,151,2025-07-03,00:19:52,60,136.5
139443,152,2025-07-03,00:20:07,60,136.5
139444,153,2025-07-03,00:20:17,59,136.5
139445,154,2025-07-03,00:20:22,58,136.5
139446,155,2025-07-03,00:20:27,58,136.5
139447,156,2025-07-03,00:20:37,59,136.5
139448,157,2025-07-03,00:20:42,62,136.5
139449,158,2025-07-03,00:20:47,68,136.5
139450,159,2025-07-03,00:20:57,69,136.5
139451,160,2025-07-03,00:21:07,70,136.5
139452,161,2025-07-03,00:21:12,63,136.5
139453,162,2025-07-03,00:21:27,63,136.5
139454,163,2025-07-03,00:21:37,63,136.5
139455,164,2025-07-03,00:21:42,64,136.5
139456,165,2025-07-03,00:21:47,64,136.5
139457,166,2025-07-03,00:21:52,65,136.5
139458,167,2025-07-03,00:21:57,62,136.5
139459,168,2025-07-03,00:22:02,62,136.5
139460,169,2025-07-03,00:22:07,61,136.5
139461,170,2025-07-03,00:22:12,59,136.5
139462,171,2025-07-03,00:22:27,59,136.5
139463,172,2025-07-03,00:22:32,61,136.5
139464,173,2025-07-03,00:22:37,62,136.5
139465,174,2025-07-03,00:22:42,62,136.5
139466,175,2025-07-03,00:22:48,58,136.5
139467,176,2025-07-03,00:22:53,56,136.5
139468,177,2025-07-03,00:22:58,55,136.5
139469,178,2025-07-03,00:23:03,55,136.5
139470,179,2025-07-03,00:23:08,56,136.5
139471,180,2025-07-03,00:23:13,57,136.5
139472,181,2025-07-03,00:23:28,57,136.5
139473,182,2025-07-03,00:23:33,58,136.5
139474,183,2025-07-03,00:23:38,59,136.5
139475,184,2025-07-03,00:23:43,60,136.5
139476,185,2025-07-03,00:23:58,61,136.5
139477,186,2025-07-03,00:24:03,60,136.5
139478,187,2025-07-03,00:24:08,61,136.5
139479,188,2025-07-03,00:24:13,60,136.5
139480,189,2025-07-03,00:24:18,59,136.5
139481,190,2025-07-03,00:24:33,59,136.5
139482,191,2025-07-03,00:24:38,58,136.5
139483,192,2025-07-03,00:24:53,60,136.5
139484,193,2025-07-03,00:24:58,62,136.5
139485,194,2025-07-03,00:25:13,62,136.5
139486,195,2025-07-03,00:25:18,63,136.5
139487,196,2025-07-03,00:25:33,63,136.5
139488,197,2025-07-03,00:25:38,64,136.5
139489,198,2025-07-03,00:25:43,65,136.5
139490,199,2025-07-03,00:25:48,66,136.5
139491,200,2025-07-03,00:25:53,67,136.5
139492,201,2025-07-03,00:25:58,66,136.5
139493,202,2025-07-03,00:26:03,65,136.5
139494,203,2025-07-03,00:26:13,64,136.5
139495,204,2025-07-03,00:26:18,63,136.5
139496,205,2025-07-03,00:26:23,62,136.5
